"index","status","confidence","date"
135,Defective,37.97%,2025-03-06 23:43:37
136,OK,95.82%,2025-03-06 23:45:24
137,OK,86.17%,2025-03-06 23:45:54
138,Defective,25.33%,2025-03-07 01:54:01
139,Defective,79.88%,2025-03-07 01:54:10
140,Defective,23.50%,2025-03-07 01:54:20
141,Defective,60.05%,2025-03-07 01:54:30
142,Defective,71.74%,2025-03-07 01:54:50
143,Defective,51.76%,2025-03-07 01:55:01
144,Defective,71.14%,2025-03-07 01:55:11
145,Defective,75.63%,2025-03-07 01:55:31
146,Defective,37.77%,2025-03-07 01:55:41
147,Defective,36.85%,2025-03-07 01:55:51
148,Defective,34.77%,2025-03-07 01:56:11
149,Defective,48.03%,2025-03-07 01:56:21
150,Defective,68.13%,2025-03-07 01:56:31
151,Defective,47.14%,2025-03-07 01:56:41
152,Defective,30.58%,2025-03-07 01:56:51
153,Defective,10.92%,2025-03-07 01:57:01
154,Defective,40.79%,2025-03-07 01:57:11
155,Defective,46.85%,2025-03-07 01:57:21
156,Defective,28.87%,2025-03-07 01:57:31
157,Defective,62.59%,2025-03-07 02:04:28
158,Defective,35.98%,2025-03-07 02:04:38
159,Defective,51.79%,2025-03-07 02:04:48
160,Defective,16.98%,2025-03-07 02:04:58
161,Defective,73.84%,2025-03-07 02:05:08
162,Defective,33.04%,2025-03-07 02:05:48
163,OK,84.98%,2025-03-07 02:06:02
164,Defective,50.02%,2025-03-07 02:06:12
165,OK,86.96%,2025-03-07 02:06:32
166,Defective,68.67%,2025-03-07 02:06:42
167,OK,96.40%,2025-03-07 02:06:52
168,Defective,55.18%,2025-03-07 02:08:13
169,Defective,63.46%,2025-03-07 02:08:33
170,Defective,57.46%,2025-03-07 02:08:43
171,OK,85.84%,2025-03-07 02:08:53
172,Defective,65.85%,2025-03-07 02:09:33
173,Defective,62.04%,2025-03-07 02:09:44
174,Defective,60.02%,2025-03-07 02:09:54
175,Defective,55.27%,2025-03-07 02:10:04
176,Defective,57.06%,2025-03-07 02:10:24
